ABMI Site Number,ABMI Public Latitude,ABMI Public Longitude,File No. ABMI-00003; Version January 2008,,
667,55.709446,-111.704140,,,
668,55.687176,-111.442703,,,
669,55.636261,-111.128052,,,
670,55.620747,-110.728439,,,
671,55.588326,-110.441200,,,
672,55.529751,-110.113976,,,
673,56.180622,-119.658020,,,
674,56.209953,-119.368965,,,
675,56.164143,-119.098602,,,
676,56.161648,-118.711601,,,
677,56.100563,-118.411568,,,
678,56.118496,-118.093781,,,
679,56.119915,-117.760071,,,
680,56.062008,-117.447258,,,
681,56.056721,-117.071121,,,
682,56.021881,-116.822372,,,
683,55.998497,-116.433823,,,
684,55.997955,-116.186646,,,
685,55.952091,-115.889046,,,
686,55.919659,-115.525558,,,
687,55.888378,-115.154457,,,
688,55.853664,-114.960381,,,
689,55.859657,-114.639381,,,
690,55.789543,-114.290833,,,
691,55.805695,-113.994240,,,
692,55.787491,-113.671707,,,
693,55.743893,-113.394600,,,
694,55.672577,-113.040230,,,
695,55.677059,-112.734268,,,
696,55.653831,-112.423393,,,
697,55.559921,-112.072166,,,
698,55.547825,-111.749794,,,
699,55.497818,-111.417191,,,
700,55.467098,-111.192917,,,
701,55.447170,-110.891159,,,
702,55.394737,-110.568474,,,
703,55.361950,-110.199936,,,
704,55.996254,-119.681847,,,
705,55.980568,-119.468948,,,
706,55.982117,-119.114197,,,
707,55.977535,-118.796951,,,
708,55.949131,-118.420120,,,
709,55.956558,-118.151054,,,
710,55.934803,-117.796768,,,
711,55.872986,-117.451088,,,
712,55.855705,-117.155426,,,
713,55.883343,-116.879593,,,
714,55.793797,-116.569290,,,
715,55.804096,-116.189377,,,
716,55.790264,-115.876770,,,
717,55.742378,-115.578911,,,
718,55.723232,-115.245811,,,
719,55.713268,-114.921829,,,
720,55.686321,-114.670769,,,
721,55.624916,-114.345428,,,
722,55.618637,-114.071823,,,
723,55.585331,-113.688354,,,
724,55.564034,-113.352173,,,
725,55.517902,-113.069962,,,
726,55.485153,-112.846214,,,
727,55.443119,-112.501060,,,
728,55.374165,-112.146545,,,
729,55.386623,-111.827736,,,
730,55.308971,-111.497162,,,
731,55.287144,-111.205101,,,
732,55.252216,-110.911606,,,
